#id  northing easting
4319 6116521 499378
4320 6116521 500876
4321 6116521 502378
4322 6116520 503878
4323 6116521 505376
4324 6116521 506877
4325 6116519 508378
4326 6117821 447628
4327 6117824 449128
4328 6117820 450626
4329 6117820 452128
4330 6117820 453626
4331 6117820 455128
4332 6117819 456628
4333 6117820 458126
4334 6117820 459628
4335 6117820 461127
4336 6117819 462626
4337 6117820 464128
4338 6117819 465626
4339 6117819 467128
4340 6117820 468627
4341 6117819 470128
4342 6117820 471628
4343 6117820 473126
4344 6117820 474628
4345 6117819 476126
4346 6117820 477628
4347 6117819 479127
4348 6117819 480628
4349 6117820 482128
4350 6117819 483626
4351 6117820 485128
4352 6117820 486626
4353 6117820 488128
4354 6117819 489626
4355 6117820 491128
4356 6117820 492626
4357 6117820 494128
4358 6117820 495627
4359 6117819 497126
4360 6117820 498628
4361 6117820 500126
4362 6117818 501628
4363 6117819 503126
4364 6117820 504628
4365 6117820 506126
4366 6119118 448376
4367 6119123 449879
4368 6119118 451378
4369 6119118 452878
4370 6119118 454378
4371 6119119 455876
4372 6119118 457376
4373 6119120 458876
4374 6119120 460378
4375 6119118 461878
4376 6119119 463378
4377 6119118 464877
4378 6119118 466376
4379 6119118 467876
4380 6119119 469378
4381 6119118 470878
4382 6119120 472378
4383 6119120 473876
4384 6119118 475376
4385 6119119 476878
4386 6119118 478378
4387 6119118 479878
4388 6119118 481376
4389 6119119 482876
4390 6119118 484378
4391 6119118 485878
4392 6119118 487377
4393 6119118 488876
4394 6119119 490376
4395 6119119 491878
4396 6119118 493378
4397 6119119 494876
4398 6119119 496376
4399 6119118 497878
4400 6119118 499378
4401 6119118 500877
4402 6119119 502376
4403 6119119 503876
4404 6120423 449128
4405 6120417 450628
4406 6120417 452128
4407 6120417 453628
4408 6120417 455128
4409 6120418 456626
4410 6120417 458126
4411 6120417 459626
4412 6120417 461126
4413 6120418 462626
4414 6120417 464126
4415 6120417 465627
4416 6120417 467128
4417 6120417 468628
4418 6120418 470128
4419 6120417 471628
4420 6120417 473128
4421 6120417 474628
4422 6120418 476128
4423 6120417 477628
4424 6120417 479128
4425 6120417 480628
4426 6120417 482128
4427 6120418 483628
4428 6120418 485128
4429 6120417 486628
4430 6120418 488126
4431 6120418 489626
4432 6120417 491126
4433 6120417 492626
4434 6120417 494126
4435 6120418 495626
4436 6120419 497126
4437 6120418 498626
4438 6120418 500126
4439 6120418 501626
4440 6121724 449878
4441 6121718 451378
4442 6121718 452878
4443 6121718 454376
4444 6121716 455878
4445 6121718 457378
4446 6121717 458876
4447 6121717 460378
4448 6121718 461878
4449 6121716 463376
4450 6121718 464877
4451 6121718 466378
4452 6121718 467876
4453 6121716 469376
4454 6121718 470878
4455 6121717 472378
4456 6121717 473876
4457 6121718 475377
4458 6121716 476878
4459 6121716 478378
4460 6121718 479876
4461 6121716 481377
4462 6121716 482878
4463 6121718 484376
4464 6121717 485876
4465 6121717 487378
4466 6121718 488878
4467 6121717 490376
4468 6121716 491876
4469 6121716 493378
4470 6121716 494878
4471 6121717 496376
4472 6121716 497876
4473 6121718 499378
4474 6123017 450626
4475 6123016 452128
4476 6123016 453626
4477 6123017 455128
4478 6123015 456627
4479 6123015 458128
4480 6123017 459628
4481 6123015 461126
4482 6123015 462628
4483 6123017 464126
4484 6123016 465628
4485 6123016 467126
4486 6123017 468628
4487 6123015 470126
4488 6123015 471628
4489 6123017 473126
4490 6123015 474628
4491 6123016 476126
4492 6123017 477628
4493 6123016 479126
4494 6123017 480628
4495 6123015 482126
4496 6123016 483628
4497 6123015 485126
4498 6123015 486628
4499 6123015 488126
4500 6123016 489628
4501 6123015 491126
4502 6123017 492628
4503 6123017 494126
4504 6123015 495628
4505 6123016 497126
4506 6124315 451376
4507 6124315 452876
4508 6124315 454378
4509 6124316 455878
4510 6124315 457378
4511 6124314 458876
4512 6124314 460376
4513 6124315 461878
4514 6124316 463378
4515 6124315 464877
4516 6124315 466376
4517 6124315 467878
4518 6124316 469378
4519 6124315 470877
4520 6124314 472376
4521 6124314 473878
4522 6124315 475378
4523 6124314 476877
4524 6124315 478376
4525 6124315 479878
4526 6124315 481378
4527 6124314 482876
4528 6124315 484376
4529 6124315 485878
4530 6124315 487378
4531 6124315 488876
4532 6124314 490376
4533 6124316 491878
4534 6124315 493377
4535 6124316 494876
4536 6125613 452128
4537 6125613 453628
4538 6125614 455128
4539 6125613 456628
4540 6125614 458128
4541 6125614 459628
4542 6125614 461128
4543 6125613 462628
4544 6125614 464128
4545 6125613 465628
4546 6125613 467128
4547 6125614 468628
4548 6125613 470128
4549 6125615 471628
4550 6125614 473128
4551 6125615 474628
4552 6125613 476128
4553 6125614 477628
4554 6125614 479128
4555 6125614 480628
4556 6125615 482128
4557 6125613 483628
4558 6125615 485128
4559 6125615 486628
4560 6125615 488128
4561 6125613 489628
4562 6125615 491127
4563 6125614 492627
4564 6126914 458877
4565 6126914 460378
4566 6126912 461878
4567 6126913 463376
4568 6126912 464877
4569 6126912 466378
4570 6126912 467878
4571 6126913 469376
4572 6126912 470876
4573 6126912 472378
4574 6126912 473878
4575 6126912 475376
4576 6126914 476876
4577 6126913 478377
4578 6126912 479878
4579 6126913 481378
4580 6126914 482876
4581 6126912 484376
4582 6126912 485877
4583 6126912 487378
4584 6126913 488878
4585 6126914 490376
4586 6107427 455127
4587 6107428 456626
4588 6107427 458128
4589 6107427 459628
4590 6067164 467879
4591 6067164 469379
4592 6067163 470878
4593 6067164 472379
4594 6067164 473879
4595 6067163 475378
4596 6068463 465628
4597 6068463 467129
4598 6068463 468628
4599 6068464 470129
4600 6068463 471628
4601 6068463 473129
4602 6068463 474628
4603 6068463 476129
4604 6068464 477628
4605 6069763 463379
4606 6069764 464879
4607 6069764 466379
4608 6069764 467878
4609 6069763 469378
4610 6069764 470879
4611 6069763 472379
4612 6069763 473878
4613 6069763 475378
4614 6069764 476878
4615 6069763 478379
4616 6069763 479879
4617 6071063 461128
4618 6071063 462628
4619 6071064 464128
4620 6071063 465628
4621 6071063 467128
4622 6071064 468628
4623 6071064 470128
4624 6071064 471628
4625 6071063 473128
4626 6071063 474628
4627 6071064 476128
4628 6071063 477628
4629 6071064 479128
4630 6071064 480628
4631 6071063 482128
4632 6072353 458878
4633 6072353 460379
4634 6072353 461879
4635 6072354 463378
4636 6072353 464879
4637 6072353 466379
4638 6072353 467878
4639 6072353 469378
4640 6072354 470879
4641 6072354 472379
4642 6072353 473878
4643 6072354 475378
4644 6072353 476879
4645 6072354 478379
4646 6072354 479878
4647 6072354 481378
4648 6072354 482879
4649 6073653 456628
4650 6073654 458129
4651 6073653 459628
4652 6073653 461129
4653 6073654 462628
4654 6073653 464129
4655 6073654 465628
4656 6073654 467129
4657 6073654 468628
4658 6073653 470129
4659 6073654 471628
4660 6073654 473129
4661 6073654 474628
4662 6073654 476129
4663 6073653 477628
4664 6073653 479129
4665 6073653 480628
4666 6073653 482129
4667 6073654 483628
4668 6073653 485129
4669 6074953 455879
4670 6074954 457378
4671 6074954 458878
4672 6074953 460378
4673 6074954 461879
4674 6074954 463379
4675 6074954 464878
4676 6074953 466378
4677 6074953 467879
4678 6074954 469379
4679 6074953 470878
4680 6074954 472378
4681 6074954 473879
4682 6074954 475379
4683 6074953 476878
4684 6074954 478379
4685 6074954 479879
4686 6074954 481378
4687 6074953 482878
4688 6074954 484379
4689 6074954 485879
4690 6074953 487378
4691 6076254 455128
4692 6076253 456628
4693 6076254 458128
4694 6076254 459628
4695 6076254 461128
4696 6076254 462628
4697 6076253 464128
4698 6076253 465628
4699 6076253 467128
4700 6076253 468628
4701 6076254 470128
4702 6076253 471628
4703 6076254 473128
4704 6076253 474628
4705 6076253 476128
4706 6076254 477628
4707 6076254 479129
4708 6076254 480629
4709 6076254 482129
4710 6076253 483629
4711 6076254 485129
4712 6076254 486629
4713 6076254 488129
4714 6077553 454378
4715 6077554 455879
4716 6077553 457379
4717 6077554 458878
4718 6077554 460378
4719 6077554 461879
4720 6077553 463379
4721 6077554 464878
4722 6077554 466378
4723 6077554 467879
4724 6077554 469379
4725 6077553 470879
4726 6077553 472378
4727 6077553 473878
4728 6077553 475379
4729 6077554 476879
4730 6077553 478378
4731 6077553 479878
4732 6077553 481378
4733 6077554 482879
4734 6077553 484379
4735 6077554 485878
4736 6077554 487378
4737 6077553 488878
4738 6078853 453628
4739 6078853 455129
4740 6078854 456628
4741 6078853 458129
4742 6078854 459628
4743 6078854 461129
4744 6078853 462628
4745 6078854 464129
4746 6078853 465628
4747 6078853 467129
4748 6078853 468628
4749 6078854 470129
4750 6078853 471628
4751 6078853 473129
4752 6078853 474629
4753 6078854 476128
4754 6078853 477629
4755 6078854 479128
4756 6078854 480629
4757 6078853 482128
4758 6078853 483629
4759 6078853 485128
4760 6078854 486629
4761 6078853 488129
4762 6078853 489628
4763 6080154 452879
4764 6080154 454379
4765 6080154 455878
4766 6080153 457378
4767 6080153 458879
4768 6080153 460379
4769 6080153 461878
4770 6080154 463378
4771 6080153 464879
4772 6080154 466379
4773 6080153 467878
4774 6080153 469379
4775 6080154 470879
4776 6080154 472378
4777 6080153 473878
4778 6080154 475379
4779 6080153 476878
4780 6080154 478378
4781 6080154 479879
4782 6080154 481379
4783 6080154 482878
4784 6080153 484379
4785 6080153 485879
4786 6080153 487378
4787 6080153 488879
4788 6080154 490379
4789 6081453 452128
4790 6081453 453628
4791 6081453 455128
4792 6081454 456628
4793 6081453 458128
4794 6081453 459628
4795 6081453 461128
4796 6081454 462628
4797 6081454 464128
4798 6081454 465628
4799 6081454 467128
4800 6081454 468628
4801 6081453 470128
4802 6081454 471628
4803 6081454 473129
4804 6081454 474629
4805 6081454 476129
4806 6081454 477629
4807 6081453 479129
4808 6081453 480629
4809 6081453 482129
4810 6081454 483628
4811 6081453 485128
4812 6081453 486628
4813 6081453 488128
4814 6081454 489628
4815 6081453 491129
4816 6082753 452879
4817 6082753 454378
4818 6082753 455878
4819 6082754 457379
4820 6082753 458879
4821 6082753 460378
4822 6082754 461878
4823 6082754 463378
4824 6082753 464879
